long_name,height_cm,weight_kg,age,overall,potential,sofifa_id,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Kai Lukas Havertz,190,82,23,84,91,235790.0,ST, Germany,74,81.0,80.0,84.0,80.0,85,84,53,78,85,75,86,77,84,75,74,75,77,69,77,42,38,85,82.0,73.0,39,46,38,6.0,8.0,11.0,10.0,12.0
Niclas Füllkrug,188,83,29,78,78,205431.0,SUB, Germany,63,80.0,85.0,69.0,75.0,71,69,69,52,76,61,64,59,78,52,82,70,66,85,74,67,24,81,61.0,79.0,41,30,17,15.0,9.0,10.0,13.0,9.0
Serge David Gnabry,176,77,26,86,86,206113.0,RM, Germany,78,86.0,42.0,82.0,83.0,88,74,62,77,82,85,84,86,83,88,87,65,78,69,82,63,38,86,82.0,68.0,45,44,43,14.0,10.0,10.0,9.0,7.0
Mario Götze,176,71,30,82,82,192318.0,SUB, Germany,80,75.0,47.0,86.0,84.0,83,81,72,83,88,69,66,78,82,83,75,58,75,67,68,59,65,80,86.0,78.0,64,42,53,14.0,7.0,12.0,6.0,10.0
Kevin Trapp,189,84,31,83,83,188943.0,SUB, Germany,13,13.0,11.0,25.0,12.0,10,14,12,12,24,43,50,42,81,37,56,76,45,75,13,30,22,12,46.0,17.0,15,14,10,82.0,78.0,75.0,82.0,85.0
Thomas Müller,185,76,32,86,86,189596.0,CAM, Germany,85,87.0,81.0,84.0,84.0,77,81,59,79,84,66,71,72,94,71,78,77,86,66,82,62,58,95,86.0,70.0,47,57,46,6.0,7.0,11.0,14.0,14.0
Jamal Musiala,180,68,19,82,92,256790.0,SUB, Germany,66,78.0,49.0,83.0,63.0,89,64,53,75,88,80,72,91,83,92,71,55,78,53,73,59,65,77,79.0,53.0,64,63,69,6.0,9.0,8.0,8.0,11.0
Niklas Süle,195,99,26,85,87,212190.0,RCB, Germany,48,28.0,84.0,80.0,44.0,56,33,38,77,64,56,83,34,81,39,78,60,65,94,62,86,81,42,66.0,32.0,83,88,87,15.0,7.0,14.0,7.0,15.0
Lukas Manuel Klostermann,187,88,26,80,82,222331.0,SUB, Germany,71,55.0,75.0,72.0,41.0,71,47,22,63,71,81,90,63,80,60,58,82,76,77,31,72,81,68,55.0,32.0,80,80,81,8.0,12.0,10.0,7.0,7.0
Julian Brandt,183,83,26,81,84,212194.0,SUB, Germany,79,75.0,52.0,85.0,79.0,84,77,65,81,86,68,67,84,82,83,81,62,80,68,78,39,58,77,84.0,54.0,44,45,48,11.0,16.0,11.0,8.0,9.0
Jonas Hofmann,176,73,29,82,82,210324.0,SUB, Germany,80,79.0,48.0,81.0,64.0,79,77,71,81,80,75,72,79,83,78,74,61,86,66,74,70,77,82,81.0,71.0,73,62,63,6.0,6.0,10.0,10.0,10.0
Leroy Aziz Sané,183,80,26,84,85,222492.0,LM, Germany,82,82.0,72.0,82.0,86.0,86,84,85,69,83,91,88,87,83,81,87,64,69,70,83,63,34,82,82.0,71.0,36,32,35,8.0,12.0,9.0,9.0,14.0
Christian Günter,184,83,29,79,79,209846.0,SUB, Germany,86,51.0,67.0,72.0,39.0,73,77,68,64,71,77,82,64,78,64,74,53,88,81,63,84,76,66,59.0,46.0,74,77,75,9.0,15.0,9.0,8.0,14.0
İlkay Gündoğan,180,80,31,84,84,186942.0,SUB, Germany,78,80.0,50.0,87.0,75.0,86,86,80,85,87,66,64,77,85,77,79,61,72,73,80,70,77,80,86.0,80.0,76,74,67,11.0,14.0,5.0,5.0,13.0
Marc-André ter Stegen,187,85,30,86,87,192448.0,RES, Germany,18,14.0,11.0,61.0,14.0,21,18,12,63,30,45,50,39,83,43,65,79,35,78,10,43,22,11,70.0,25.0,25,13,10,84.0,80.0,86.0,84.0,90.0
Nico Schlotterbeck,191,86,22,82,88,247819.0,SUB, Germany,48,49.0,84.0,76.0,51.0,72,49,35,79,71,77,76,68,81,66,67,76,73,82,60,79,82,53,67.0,38.0,83,86,80,8.0,10.0,8.0,14.0,13.0
Karim-David Adeyemi,180,75,20,77,88,251852.0,RES, Germany,63,78.0,64.0,73.0,74.0,80,67,62,64,76,95,92,88,74,81,77,88,74,74,75,51,23,76,68.0,73.0,18,19,25,12.0,12.0,7.0,12.0,7.0
Armel Bella Kotchap,190,87,20,74,83,247497.0,RES, Germany,31,20.0,73.0,66.0,24.0,39,22,22,64,61,77,85,60,62,63,40,77,65,86,20,68,77,29,46.0,33.0,69,77,73,12.0,14.0,5.0,8.0,13.0
Youssoufa Moukoko,179,72,17,75,89,240833.0,SUB, Germany,48,77.0,64.0,67.0,73.0,78,70,41,42,76,82,86,84,76,85,76,71,66,68,66,48,29,75,59.0,67.0,29,31,25,13.0,13.0,11.0,10.0,13.0
Robert Lynch Sanchéz,197,85,24,78,84,228789.0,SUB, Spain,12,14.0,15.0,46.0,15.0,15,12,14,50,37,45,44,31,72,35,54,70,40,66,16,33,8,12,58.0,15.0,18,13,15,79.0,76.0,72.0,78.0,81.0
César Azpilicueta Tanco,178,77,32,82,82,184432.0,SUB, Spain,79,46.0,77.0,78.0,51.0,68,68,58,77,76,68,62,67,85,73,68,83,77,70,60,87,83,62,72.0,66.0,84,85,84,13.0,9.0,10.0,6.0,5.0
Eric García Martret,182,76,21,81,87,245037.0,SUB, Spain,54,42.0,83.0,86.0,31.0,64,65,31,80,80,57,70,64,80,56,51,77,65,72,44,82,81,42,68.0,44.0,82,83,82,11.0,9.0,12.0,11.0,7.0
Pau Francisco Torres,191,80,25,83,90,241464.0,LCB, Spain,55,28.0,85.0,80.0,41.0,64,45,28,76,80,70,76,68,81,52,58,80,80,82,40,80,84,42,67.0,42.0,85,85,83,11.0,13.0,13.0,13.0,9.0
Sergio Busquets i Burgos,189,76,33,86,86,189511.0,CDM, Spain,62,67.0,68.0,88.0,50.0,80,66,68,86,86,40,43,66,82,50,61,66,75,70,54,79,85,76,84.0,60.0,84,84,83,5.0,8.0,13.0,9.0,13.0
Marcos Llorente Moreno,184,74,27,83,84,226161.0,SUB, Spain,74,80.0,67.0,84.0,66.0,82,75,63,81,84,85,90,82,85,68,84,69,90,77,77,82,81,84,84.0,65.0,79,77,73,13.0,6.0,6.0,11.0,15.0
Álvaro Borja Morata Martín,190,84,29,83,83,201153.0,ST, Spain,72,85.0,85.0,80.0,80.0,83,78,50,60,84,80,81,72,83,63,79,86,77,80,75,69,24,84,77.0,75.0,37,14,20,4.0,5.0,4.0,4.0,5.0
Jorge Resurrección Merodio,176,77,30,83,83,193747.0,RCM, Spain,85,69.0,61.0,86.0,56.0,77,84,77,84,81,72,69,72,84,81,81,59,91,75,75,78,82,76,83.0,67.0,81,82,70,14.0,12.0,5.0,10.0,13.0
Pablo Martín Páez Gavira,173,68,17,82,89,264240.0,SUB, Spain,69,75.0,42.0,84.0,49.0,88,74,49,81,86,77,75,86,79,90,56,70,78,55,73,82,78,80,82.0,51.0,59,78,66,8.0,10.0,11.0,7.0,13.0
Marco Asensio Willemsen,182,76,26,82,83,220834.0,SUB, Spain,81,78.0,57.0,81.0,79.0,82,84,76,82,86,83,81,80,78,76,86,58,75,63,85,45,45,80,80.0,62.0,40,42,39,13.0,9.0,6.0,12.0,10.0
Ferran Torres García,184,77,22,85,90,241461.0,LW, Spain,84,81.0,75.0,83.0,74.0,87,76,60,78,86,87,83,85,85,78,79,75,73,69,76,54,34,86,85.0,74.0,35,24,28,12.0,9.0,11.0,15.0,12.0
Nicholas Williams Arthuer,181,67,19,73,85,256516.0,RES, Spain,73,68.0,68.0,69.0,52.0,77,64,57,59,73,90,92,88,68,74,69,66,68,61,66,36,40,65,59.0,62.0,36,20,18,9.0,13.0,12.0,12.0,14.0
David Raya Martin,183,75,26,75,78,220901.0,RES, Spain,12,19.0,20.0,49.0,20.0,17,18,15,53,40,58,46,70,72,45,58,70,29,38,14,29,11,15,65.0,26.0,28,14,13,75.0,74.0,77.0,74.0,75.0
Alejandro Balde Martínez,175,69,18,73,83,,SUB, FC Barcelona,72,48.0,61.0,77.0,32.0,74,56,28,65,75,83,84,81,70,74,53,45,73,63,39,47,66,63,72.0,41.0,63,70,70,5.0,8.0,7.0,10.0,13.0
Hugo Guillamón Sammartín,178,62,22,74,82,246352.0,RES, Spain,51,55.0,72.0,77.0,40.0,59,51,33,73,71,60,57,62,71,67,52,76,75,68,43,70,72,33,67.0,62.0,74,76,75,13.0,11.0,13.0,13.0,13.0
Rodrigo Hernández Cascante,191,82,26,87,89,,CDM, Manchester City,84,,,,,63,64,80,86,59,78,65,61,83,85,54,62,65,82,65,89,72,88,84.0,82.0,82,83,75,84.0,86.0,78.0,,
Yeremy Jesús Pino Santos,172,60,19,79,87,259377.0,SUB, Spain,78,79.0,46.0,79.0,67.0,82,73,60,74,81,78,77,80,74,79,68,34,70,33,71,48,29,79,76.0,54.0,31,48,41,9.0,7.0,14.0,6.0,9.0
Jordi Alba Ramos,170,68,33,85,85,189332.0,LB, Spain,86,73.0,70.0,86.0,75.0,79,82,63,81,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78.0,59.0,74,78,79,13.0,15.0,13.0,6.0,13.0
Carlos Soler Barragán,180,76,25,82,87,234153.0,SUB, Spain,77,77.0,56.0,84.0,66.0,78,80,85,83,79,78,82,76,85,73,76,58,84,71,75,65,78,79,83.0,86.0,67,80,70,6.0,14.0,7.0,13.0,11.0
Daniel Carvajal Ramos,173,73,30,84,84,204963.0,RB, Spain,80,51.0,72.0,83.0,49.0,78,76,47,74,83,78,77,78,80,82,68,77,85,74,47,86,79,75,72.0,45.0,78,83,84,13.0,13.0,15.0,9.0,15.0
Daniel Olmo Carvajal,179,72,24,84,88,244260.0,SUB, Spain,85,79.0,43.0,86.0,76.0,88,72,75,79,88,80,60,87,86,86,79,55,80,54,82,51,57,85,86.0,66.0,50,50,44,15.0,15.0,13.0,12.0,11.0
Pablo Sarabia García,174,70,30,83,83,198950.0,RW, Spain,87,81.0,61.0,87.0,64.0,85,84,74,79,86,76,75,81,84,80,75,31,71,59,80,49,58,82,84.0,72.0,60,54,49,16.0,7.0,15.0,6.0,14.0
Unai Simón Mendibil,190,89,25,85,88,230869.0,GK, Spain,16,14.0,18.0,41.0,17.0,12,20,14,37,16,48,50,37,79,47,59,66,44,76,13,29,26,14,48.0,24.0,11,18,12,84.0,81.0,79.0,87.0,86.0
Aymeric Laporte,191,85,28,86,88,212218.0,RCB, Spain,58,45.0,84.0,83.0,40.0,63,61,69,81,78,59,65,57,87,60,68,80,72,84,47,81,87,54,65.0,44.0,86,87,86,10.0,11.0,5.0,14.0,5.0
Anssumane Fati,178,66,19,79,90,253004.0,SUB, Spain,69,82.0,66.0,73.0,69.0,82,75,64,69,80,90,87,89,77,82,74,75,63,48,72,48,19,80,74.0,74.0,23,32,28,6.0,9.0,8.0,10.0,7.0
Pedro González López,174,61,19,86,93,251854.0,LCM, Spain,68,72.0,50.0,88.0,56.0,88,79,62,86,89,82,76,88,85,90,66,65,91,60,68,62,74,79,89.0,53.0,68,73,63,12.0,7.0,11.0,8.0,8.0
川島 永嗣,185,82,39,74,74,180739.0,SUB, 1411,17,14.0,14.0,33.0,13.0,12,13,14,33,28,43,42,61,72,45,54,69,30,60,19,16,19,11,29.0,24.0,10,13,12,73.0,72.0,72.0,75.0,74.0
山根 視来,178,72,28,72,72,233169.0,SUB, 1411,64,58.0,64.0,74.0,66.0,67,48,38,66,65,71,82,54,70,66,70,73,82,73,63,64,68,55,62.0,43.0,67,71,69,13.0,8.0,8.0,8.0,15.0
谷口 彰悟,183,75,30,73,73,233225.0,RES, 1411,50,35.0,73.0,74.0,39.0,56,35,32,70,66,53,73,58,72,59,63,71,82,72,49,63,76,55,51.0,45.0,78,74,69,8.0,13.0,11.0,14.0,14.0
板仓 晃,186,75,25,75,80,233152.0,RCB, 1411,34,41.0,70.0,73.0,34.0,64,41,40,68,67,80,72,71,73,69,67,84,85,75,36,67,78,48,51.0,38.0,76,80,75,13.0,6.0,9.0,10.0,12.0
長友 佑都,170,68,35,75,75,194359.0,LB, 1411,72,49.0,59.0,70.0,45.0,68,68,36,61,72,74,71,80,68,88,50,73,80,57,51,72,77,65,62.0,44.0,73,74,73,12.0,13.0,8.0,13.0,15.0
遠藤 航,178,76,29,80,80,232487.0,LDM, 1411,55,59.0,78.0,80.0,26.0,75,43,50,78,83,75,66,73,80,78,74,91,90,66,72,78,81,62,76.0,62.0,78,79,73,9.0,13.0,7.0,11.0,5.0
柴崎 岳,175,68,30,75,75,232883.0,RDM, 1411,65,60.0,53.0,73.0,60.0,69,64,71,70,75,71,68,79,69,80,63,71,86,60,57,76,77,66,71.0,72.0,70,76,74,10.0,13.0,13.0,9.0,6.0
堂安 律,172,70,24,75,81,232639.0,SUB, 1411,70,67.0,45.0,72.0,59.0,76,72,67,69,78,81,78,86,75,93,76,34,78,59,73,41,44,70,75.0,58.0,39,36,42,8.0,5.0,6.0,13.0,14.0
三笘 薫,178,71,25,74,77,255565.0,SUB, 1411,60,73.0,45.0,74.0,66.0,78,67,62,61,76,88,81,87,71,66,65,65,68,60,68,58,57,69,70.0,63.0,56,59,54,10.0,13.0,10.0,14.0,9.0
南野 拓実,174,67,27,80,80,226627.0,LM, 1411,72,80.0,50.0,73.0,76.0,86,73,69,64,80,88,82,89,80,86,74,76,78,61,75,64,49,81,78.0,72.0,34,33,29,9.0,12.0,8.0,15.0,14.0
久保 建英,173,67,21,75,86,237681.0,SUB, 1411,63,69.0,39.0,74.0,57.0,84,68,72,60,80,88,72,86,65,83,65,52,75,46,59,43,29,68,72.0,61.0,40,43,48,6.0,7.0,15.0,10.0,10.0
権田 修一,187,83,33,76,76,217649.0,GK, 1411,17,16.0,13.0,27.0,19.0,19,21,13,34,23,55,43,41,69,46,53,54,43,54,18,28,11,7,68.0,29.0,21,16,21,76.0,72.0,71.0,76.0,80.0
守田 英正,177,73,27,74,77,242087.0,SUB, 1411,70,66.0,47.0,76.0,25.0,76,72,44,73,75,69,66,69,68,69,67,59,75,71,68,70,75,69,70.0,45.0,72,76,70,6.0,10.0,13.0,7.0,8.0
伊东 纯也,176,66,29,80,80,232905.0,RM, 1411,79,75.0,44.0,74.0,69.0,78,73,66,66,77,91,88,82,75,77,68,87,89,61,71,64,67,79,80.0,57.0,54,61,56,13.0,12.0,15.0,5.0,7.0
鎌田 大地,180,76,25,80,82,232730.0,CAM, 1411,75,73.0,53.0,81.0,66.0,85,76,68,80,83,82,68,85,74,81,61,67,74,57,67,52,43,79,84.0,72.0,47,47,40,6.0,10.0,11.0,6.0,11.0
冨安 健洋,187,84,23,79,86,232938.0,RB, 1411,65,33.0,74.0,75.0,30.0,69,48,37,70,75,76,74,70,77,70,42,75,80,85,28,78,78,55,63.0,37.0,84,81,79,9.0,14.0,6.0,5.0,11.0
田中 青,180,69,23,72,77,236764.0,SUB, 1411,61,66.0,52.0,76.0,56.0,66,63,65,72,74,72,62,82,68,77,71,63,83,64,67,70,67,71,71.0,56.0,70,72,66,10.0,14.0,12.0,12.0,6.0
浅野 佐藤,173,71,27,75,75,232610.0,ST, 1411,62,79.0,66.0,69.0,65.0,73,61,39,47,71,91,88,90,80,82,75,79,70,68,59,46,29,78,66.0,65.0,31,22,20,15.0,7.0,6.0,9.0,14.0
酒井 宏樹,185,78,32,75,75,208520.0,SUB, 1411,77,46.0,60.0,71.0,41.0,66,63,55,65,67,71,76,70,68,67,67,80,80,71,58,75,73,68,60.0,36.0,75,72,74,13.0,8.0,11.0,10.0,9.0
町野 脩斗,185,77,22,69,74,245622.0,RES, 1411,51,73.0,71.0,63.0,64.0,58,60,64,38,66,67,74,62,66,59,68,71,82,78,62,63,32,71,58.0,61.0,20,29,24,14.0,10.0,7.0,7.0,6.0
上田 綺世,182,76,23,70,75,252162.0,RES, 1411,47,76.0,67.0,53.0,60.0,64,62,63,48,65,81,82,71,62,59,71,80,71,72,66,53,23,73,55.0,62.0,22,22,22,7.0,12.0,14.0,15.0,6.0
吉田 麻也,189,79,33,79,79,191648.0,LCB, 1411,36,34.0,83.0,68.0,56.0,58,38,33,65,70,63,59,64,70,57,50,84,62,86,41,74,80,42,59.0,54.0,82,82,76,12.0,16.0,8.0,6.0,13.0
シュミット・ダニエル,197,90,30,69,70,237580.0,SUB, 1411,13,7.0,10.0,27.0,9.0,12,10,10,23,22,19,15,29,60,24,53,39,37,67,7,28,8,6,40.0,16.0,9,14,14,71.0,66.0,70.0,65.0,73.0
相馬 勇紀,166,68,25,70,72,246316.0,SUB, 1411,69,66.0,51.0,66.0,54.0,70,65,66,59,68,91,83,82,63,86,60,86,64,56,58,72,38,65,65.0,64.0,51,64,59,8.0,6.0,11.0,7.0,5.0
前田 大然,173,68,24,72,75,246321.0,SUB, 1411,59,75.0,74.0,66.0,71.0,68,61,57,47,71,92,90,89,65,76,73,68,90,58,68,70,36,79,67.0,70.0,38,49,46,5.0,9.0,5.0,9.0,12.0
伊藤 宏樹,188,78,23,73,78,234205.0,SUB, 1411,64,49.0,69.0,71.0,42.0,64,45,45,74,71,81,86,69,73,62,68,68,69,76,60,71,74,55,63.0,47.0,77,74,71,13.0,10.0,10.0,10.0,10.0
Dayne St. Clair,191,75,25,74,78,247228.0,SUB, Canada,14,5.0,11.0,16.0,6.0,9,10,13,26,19,27,26,39,79,21,47,30,26,47,8,27,9,5,38.0,10.0,8,10,12,77.0,64.0,62.0,72.0,79.0
Alistair Johnston,180,77,23,74,79,256107.0,RB, Canada,70,43.0,60.0,63.0,34.0,59,62,37,59,63,80,79,76,66,68,64,73,90,71,45,74,68,55,54.0,49.0,75,75,69,8.0,9.0,14.0,11.0,11.0
Samuel Ayomide Adekugbe,175,74,27,76,77,220028.0,LB, Canada,77,44.0,64.0,79.0,67.0,69,75,69,72,73,91,93,89,60,80,62,82,88,74,58,67,62,66,58.0,55.0,76,75,68,11.0,13.0,7.0,12.0,9.0
Kamal Anthony Miller,183,88,25,70,73,247648.0,RCB, Canada,50,20.0,65.0,69.0,26.0,65,35,28,60,62,77,81,46,68,50,32,74,74,84,17,72,70,50,50.0,31.0,68,69,69,8.0,11.0,12.0,7.0,12.0
Steven de Sousa Vitória,195,88,35,70,70,192528.0,LCB, Canada,37,49.0,67.0,60.0,41.0,42,61,69,57,57,30,37,32,75,33,74,31,53,91,59,76,78,21,43.0,68.0,82,65,60,14.0,7.0,8.0,6.0,6.0
Samuel Piette,171,79,27,70,71,213092.0,SUB, Canada,39,30.0,63.0,71.0,22.0,54,56,24,62,65,52,54,65,66,85,64,76,85,76,26,79,70,30,53.0,46.0,70,73,63,15.0,10.0,10.0,7.0,9.0
Stephen Antunes Eustáquio,178,67,25,78,84,242380.0,RDM, Canada,75,55.0,55.0,79.0,55.0,70,80,80,77,83,68,65,71,76,72,69,76,85,72,67,68,75,62,75.0,64.0,70,79,73,6.0,5.0,13.0,7.0,11.0
Liam Fraser,185,83,24,65,70,242643.0,RES, Canada,53,31.0,63.0,70.0,28.0,58,58,37,72,62,58,62,54,66,47,43,68,60,75,33,73,58,39,59.0,44.0,59,64,54,14.0,11.0,7.0,11.0,12.0
Lucas Daniel Cavallini,180,89,29,74,74,213095.0,SUB, Canada,31,79.0,74.0,60.0,69.0,72,44,61,41,68,77,77,56,67,70,77,80,73,93,65,86,23,71,56.0,68.0,45,32,13,10.0,11.0,6.0,7.0,15.0
David Junior Hoilett,174,70,32,71,71,189462.0,SUB, Canada,68,67.0,55.0,68.0,68.0,72,71,65,59,71,81,80,82,70,83,74,70,56,64,69,64,69,67,70.0,65.0,72,66,68,11.0,10.0,9.0,11.0,9.0
Tajon Buchanan,183,69,23,77,83,246800.0,RM, Canada,76,66.0,60.0,77.0,60.0,75,70,50,74,77,93,91,79,75,61,78,71,75,61,55,59,49,65,67.0,60.0,52,64,60,13.0,9.0,7.0,8.0,7.0
Iké Dominique Ugbo,185,73,23,72,78,233045.0,SUB, Canada,57,77.0,69.0,66.0,71.0,69,43,38,38,68,72,79,69,74,62,68,74,63,74,55,61,26,73,63.0,73.0,21,30,19,11.0,13.0,5.0,13.0,11.0
Atiba Hutchinson,187,83,39,75,75,134744.0,LDM, Canada,69,62.0,75.0,85.0,63.0,69,67,64,77,73,55,49,62,78,55,72,64,62,74,60,67,80,75,70.0,74.0,80,77,66,8.0,12.0,9.0,6.0,16.0
Mark-Anthony Kaye,185,77,27,72,73,238922.0,SUB, Canada,56,65.0,68.0,73.0,54.0,72,66,37,71,77,78,72,71,69,59,62,69,90,72,59,72,72,68,69.0,46.0,67,71,64,14.0,10.0,9.0,6.0,6.0
Ismaël Koné,188,76,20,66,83,264207.0,RES, Canada,39,55.0,51.0,72.0,34.0,66,50,48,64,70,78,86,72,60,66,66,63,64,59,68,60,67,55,67.0,39.0,59,58,45,7.0,7.0,13.0,9.0,13.0
James Pantemis,188,79,25,66,70,238919.0,SUB, Canada,14,6.0,13.0,18.0,5.0,9,13,10,25,12,38,32,27,58,33,39,62,34,60,9,23,12,4,30.0,10.0,8,12,14,66.0,63.0,52.0,69.0,70.0
Cyle Christopher Larin,188,90,27,75,76,226777.0,SUB, Canada,55,75.0,79.0,69.0,61.0,71,60,50,44,68,72,75,63,73,48,80,68,77,87,69,60,22,77,64.0,63.0,21,18,20,12.0,9.0,8.0,12.0,7.0
Milan Borjan,195,84,34,75,75,205211.0,GK, Canada,15,12.0,24.0,38.0,19.0,28,16,16,48,23,47,40,40,75,46,53,68,40,79,12,44,24,14,65.0,23.0,21,23,21,72.0,70.0,70.0,82.0,73.0
Alphonso Boyle Davies,183,75,21,84,89,234396.0,LM, Canada,84,64.0,69.0,82.0,59.0,87,72,65,67,84,96,93,86,84,84,74,78,82,75,63,77,79,77,75.0,60.0,74,78,74,11.0,11.0,6.0,5.0,14.0
Jonathan Christian David,177,77,22,82,88,243630.0,ST, Canada,70,84.0,81.0,82.0,75.0,80,69,58,69,84,85,87,80,78,70,79,86,83,79,77,41,33,82,73.0,75.0,29,42,35,7.0,7.0,11.0,7.0,7.0
Jonathan Osorio,175,68,30,77,77,213439.0,CAM, Canada,60,69.0,55.0,78.0,63.0,80,75,79,68,80,64,59,83,79,78,72,43,90,74,71,58,64,80,80.0,70.0,72,64,55,8.0,11.0,7.0,15.0,13.0
Richie Mamah Laryea,175,70,27,73,74,232081.0,SUB, Canada,77,60.0,51.0,69.0,38.0,71,58,49,62,71,82,83,79,68,68,66,70,85,65,57,74,62,69,62.0,57.0,75,69,65,8.0,8.0,9.0,12.0,12.0
Liam Alan Millar,176,79,22,71,80,240925.0,SUB, Canada,69,64.0,54.0,70.0,50.0,75,60,35,62,69,88,88,79,58,69,66,72,59,68,60,29,15,62,62.0,56.0,14,22,23,14.0,9.0,13.0,7.0,8.0
David Wotherspoon,172,76,32,67,67,193728.0,SUB, Canada,70,63.0,58.0,67.0,56.0,72,70,68,65,71,67,66,76,57,64,64,67,74,66,67,63,47,66,73.0,54.0,55,63,62,9.0,12.0,9.0,16.0,7.0
Derek Cornelius,186,86,24,68,71,243009.0,SUB, Canada,34,57.0,66.0,60.0,35.0,55,30,30,51,60,54,69,50,55,43,55,80,68,87,50,74,70,68,31.0,32.0,63,65,62,13.0,10.0,13.0,7.0,6.0
Joel Waterman,185,75,26,67,70,255956.0,RES, Canada,44,28.0,61.0,65.0,60.0,49,52,35,65,58,34,54,51,64,37,50,65,64,78,59,71,64,34,55.0,44.0,72,68,67,6.0,7.0,10.0,11.0,11.0
Thibaut Nicolas Marc Courtois,199,96,30,91,92,192119.0,GK, Belgium,14,14.0,13.0,33.0,12.0,13,19,20,35,23,42,52,63,86,45,56,68,38,70,17,23,15,13,44.0,27.0,20,18,16,87.0,89.0,75.0,89.0,90.0
Toby Albertine Maurits Alderweireld,186,81,33,82,82,184087.0,LCB, Belgium,64,45.0,81.0,77.0,38.0,62,63,59,81,74,55,60,54,85,62,78,81,72,76,58,77,83,52,62.0,58.0,85,87,82,16.0,6.0,14.0,16.0,14.0
Arthur Nicolas Theate,185,79,22,75,82,257278.0,RES, Belgium,53,23.0,71.0,58.0,24.0,48,33,37,53,59,67,76,49,72,46,70,70,68,84,58,80,74,23,43.0,32.0,75,78,76,7.0,6.0,12.0,11.0,10.0
Wout Felix Lina Faes,187,82,24,77,82,235036.0,SUB, Belgium,32,34.0,79.0,74.0,24.0,53,41,35,70,67,58,59,43,74,57,60,73,73,80,27,75,76,41,42.0,42.0,77,80,77,12.0,10.0,8.0,7.0,7.0
Jan Bert Lieve Vertonghen,189,89,35,82,82,172871.0,CB, Belgium,70,54.0,78.0,76.0,52.0,64,66,70,74,74,67,70,56,81,60,80,89,72,85,66,82,82,56,66.0,66.0,84,84,85,6.0,10.0,9.0,12.0,7.0
Axel Laurent Angel Lambert Witsel,186,81,33,79,79,177413.0,SUB, Belgium,68,62.0,82.0,89.0,75.0,78,71,64,81,82,55,51,64,82,72,64,80,75,78,62,71,75,72,75.0,76.0,80,80,74,5.0,7.0,7.0,10.0,7.0
Kevin De Bruyne,181,70,31,91,91,192985.0,RF, Belgium,94,85.0,55.0,94.0,83.0,88,89,83,93,90,76,76,79,91,78,92,63,81,80,91,75,70,88,94.0,83.0,72,65,53,15.0,13.0,5.0,10.0,13.0
Youri Tielemans,176,72,25,84,86,216393.0,RCM, Belgium,82,74.0,67.0,89.0,79.0,81,84,78,88,85,58,54,67,84,77,87,68,85,69,87,69,71,80,87.0,77.0,69,73,68,6.0,8.0,10.0,14.0,12.0
Romelu Lukaku Menama,190,94,29,87,87,192505.0,ST, Belgium,73,89.0,87.0,77.0,88.0,82,78,66,70,80,78,86,59,88,52,89,74,67,95,78,71,35,86,75.0,88.0,40,57,32,8.0,15.0,14.0,7.0,10.0
Eden Michael Hazard,175,74,31,85,85,183277.0,LF, Belgium,77,80.0,61.0,85.0,82.0,90,83,79,81,90,86,84,85,77,89,82,55,70,61,82,54,41,83,84.0,87.0,34,27,22,11.0,12.0,6.0,8.0,8.0
Yannick Ferreira Carrasco,181,73,28,85,85,208418.0,LM, Belgium,81,81.0,53.0,80.0,74.0,90,87,80,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80.0,81.0,44,64,60,9.0,11.0,9.0,10.0,10.0
Simon Luc Hildebert Mignolet,193,87,34,82,82,173426.0,SUB, Belgium,11,11.0,16.0,50.0,16.0,14,16,12,40,26,50,52,34,80,52,56,69,31,72,16,34,21,14,43.0,41.0,15,14,16,80.0,74.0,74.0,83.0,88.0
Koen Casteels,197,86,30,83,84,192984.0,SUB, Belgium,15,15.0,14.0,35.0,13.0,14,20,13,37,23,44,46,50,80,43,59,58,44,72,18,33,16,15,42.0,20.0,11,19,17,82.0,79.0,79.0,82.0,84.0
Dries Mertens,169,61,35,83,83,175943.0,SUB, Belgium,73,82.0,40.0,84.0,70.0,88,82,82,72,88,90,78,92,75,92,80,58,61,37,80,59,36,80,84.0,79.0,23,40,40,7.0,10.0,8.0,10.0,4.0
Thomas Meunier,190,90,30,80,80,202371.0,RM, Belgium,82,70.0,80.0,82.0,77.0,79,76,56,75,79,78,82,72,78,50,80,74,83,84,77,75,74,80,73.0,65.0,71,74,79,8.0,13.0,15.0,6.0,9.0
